"id","nome","url_feed","descricao","ativo","criado_em","atualizado_em"
169,Feed Google News - PORTAL PICOS 40 GRAUS,https://news.google.com/rss/search?q=site:https://www.picos40graus.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL PICOS 40 GRAUS,1,"2025-03-23 20:49:36","2025-03-23 21:31:28"
170,Feed Google News - PORTAL PIN PIAUÍ,https://news.google.com/rss/search?q=site:http://www.pinpiaui.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL PIN PIAUÍ,1,"2025-03-23 20:49:38","2025-03-23 21:31:28"
171,Feed Google News - PORTAL R10,https://news.google.com/rss/search?q=site:https://www.portalr10.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL R10,1,"2025-03-23 20:49:39","2025-03-23 21:31:28"
172,"Feed Google News - PORTAL RÁDIO LIDERANÇA 90,0",https://news.google.com/rss/search?q=site:https://liderfm90.com.br/cidade+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,"Feed RSS do Google News para o portal PORTAL RÁDIO LIDERANÇA 90,0",1,"2025-03-23 20:49:41","2025-03-23 21:31:28"
173,Feed Google News - PORTAL REDE PIAUÍ NOTÍCIAS,https://news.google.com/rss/search?q=site:https://redepiaui.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL REDE PIAUÍ NOTÍCIAS,1,"2025-03-23 20:49:42","2025-03-23 21:31:34"
174,Feed Google News - PORTAL RELATO IMPARCIAL,https://news.google.com/rss/search?q=site:https://www.relatoimparcial.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL RELATO IMPARCIAL,1,"2025-03-23 20:49:44","2025-03-23 21:31:34"
175,Feed Google News - PORTAL RP50,https://news.google.com/rss/search?q=site:https://rp50.com.br/blog/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL RP50,1,"2025-03-23 20:49:45","2025-03-23 21:31:34"
176,Feed Google News - PORTAL SAMBITO,https://news.google.com/rss/search?q=site:https://portalsambito.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL SAMBITO,1,"2025-03-23 20:49:47","2025-03-23 21:31:34"
177,Feed Google News - PORTAL SEM FRONTEIRAS,https://news.google.com/rss/search?q=site:https://www.portalsemfronteiras.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL SEM FRONTEIRAS,1,"2025-03-23 20:49:48","2025-03-23 21:31:34"
178,Feed Google News - PORTAL TERESINA DIÁRIO,https://news.google.com/rss/search?q=site:https://www.teresinadiario.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL TERESINA DIÁRIO,1,"2025-03-23 20:49:50","2025-03-23 21:31:34"
179,Feed Google News - PORTAL TV WEB JENIPAPO,https://news.google.com/rss/search?q=site:https://rtvjenipapo.com/contato+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL TV WEB JENIPAPO,1,"2025-03-23 20:49:51","2025-03-23 21:31:34"
180,Feed Google News - PORTAL DE CAMPO MAIOR,https://news.google.com/rss/search?q=site:https://portaldecampomaior.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL DE CAMPO MAIOR,1,"2025-03-23 20:49:53","2025-03-23 21:31:34"
181,Feed Google News - PORTAL FOUR LIVE | ANTIGO UNIVERSO,https://news.google.com/rss/search?q=site:https://fourlivetv.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL FOUR LIVE | ANTIGO UNIVERSO,1,"2025-03-23 20:49:54","2025-03-23 21:31:34"
182,Feed Google News - PORTAL WALCY VIEIRA,https://news.google.com/rss/search?q=site:https://walcyvieira.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL WALCY VIEIRA,1,"2025-03-23 20:49:56","2025-03-23 21:31:34"
183,Feed Google News - PORTAL WEBPIAUÍ,https://news.google.com/rss/search?q=site:https://www.webpiaui.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL WEBPIAUÍ,1,"2025-03-23 20:49:57","2025-03-23 21:31:40"
184,Feed Google News - PORTAL FOLHA EXPRESSA,https://news.google.com/rss/search?q=site:https://folhaexpressa.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL FOLHA EXPRESSA,1,"2025-03-23 20:49:59","2025-03-23 21:31:40"
185,Feed Google News - PORTAL CIDADE VERDE,https://news.google.com/rss/search?q=site:https://cidadeverde.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL CIDADE VERDE,1,"2025-03-23 20:50:00","2025-03-23 21:31:40"
186,Feed Google News - PORTAL O SERTÃO,https://news.google.com/rss/search?q=site:https://portalosertao.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL O SERTÃO,1,"2025-03-23 20:50:02","2025-03-23 21:31:40"
187,Feed Google News - PORTAL THEMOS VAGAS,https://news.google.com/rss/search?q=site:https://themosvagas.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL THEMOS VAGAS,1,"2025-03-23 20:50:03","2025-03-23 21:31:40"
188,Feed Google News - PORTAL O DIA,https://news.google.com/rss/search?q=site:https://portalodia.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL O DIA,1,"2025-03-23 20:50:05","2025-03-23 21:31:40"
189,Feed Google News - PORTAL MUNICÍPIOS EM FOCO,https://news.google.com/rss/search?q=site:https://www.municipiosemfoco.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL MUNICÍPIOS EM FOCO,1,"2025-03-23 20:50:06","2025-03-23 21:31:40"
190,Feed Google News - PORTAL NORDESTE MAIS,https://news.google.com/rss/search?q=site:https://nordestemaispi.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL NORDESTE MAIS,1,"2025-03-23 20:50:08","2025-03-23 21:31:40"
191,Feed Google News - PORTAL CANAL SERTÃO,https://news.google.com/rss/search?q=site:https://portalsertao.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL CANAL SERTÃO,1,"2025-03-23 20:50:09","2025-03-23 21:31:40"
192,Feed Google News - PORTAL INTEGRAÇÃO,https://news.google.com/rss/search?q=site:https://portalintegracao.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL INTEGRAÇÃO,1,"2025-03-23 20:50:11","2025-03-23 21:31:40"
193,Feed Google News - PORTAL RÁDIO PIONEIRA,https://news.google.com/rss/search?q=site:https://radiopioneirathe.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL RÁDIO PIONEIRA,1,"2025-03-23 20:50:12","2025-03-23 21:31:46"
194,Feed Google News - PORTAL CLUBE NEWS | GERAL CLUBE,https://news.google.com/rss/search?q=site:https://portalclubenews.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL CLUBE NEWS | GERAL CLUBE,1,"2025-03-23 20:50:14","2025-03-23 21:31:46"
195,Feed Google News - PORTAL SRN,https://news.google.com/rss/search?q=site:https://portalsrn.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL SRN,1,"2025-03-23 20:50:15","2025-03-23 21:31:46"
196,Feed Google News - PORTAL FOLHA PIAUÍ,https://news.google.com/rss/search?q=site:https://folhapiaui.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL FOLHA PIAUÍ,1,"2025-03-23 20:50:17","2025-03-23 21:31:46"
197,Feed Google News - PORTAL VERDES CAMPOS (F.LIMA),https://news.google.com/rss/search?q=site:https://portalverdescampos.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL VERDES CAMPOS (F.LIMA),1,"2025-03-23 20:50:18","2025-03-23 21:31:46"
198,Feed Google News - PORTAL PIAUÍ NA MÍDIA,https://news.google.com/rss/search?q=site:https://www.piauinamidia.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL PIAUÍ NA MÍDIA,1,"2025-03-23 20:50:20","2025-03-23 21:31:46"
199,Feed Google News - PORTAL APL (ACADEMIA PIAUIENSE DE LETRAS),https://news.google.com/rss/search?q=site:https://www.academiapiauiensedeletras.org.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL APL (ACADEMIA PIAUIENSE DE LETRAS),1,"2025-03-23 20:50:21","2025-03-23 21:31:46"
200,Feed Google News - PORTAL CORRENTE EM PONTO,https://news.google.com/rss/search?q=site:https://correnteemponto.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL CORRENTE EM PONTO,1,"2025-03-23 20:50:23","2025-03-23 21:31:46"
201,Feed Google News - PORTAL RMF,https://news.google.com/rss/search?q=site:https://portalrmf.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL RMF,1,"2025-03-23 20:50:24","2025-03-23 21:31:46"
202,Feed Google News - PORTAL DE NOTÍCIAS CANAL 121,https://news.google.com/rss/search?q=site:https://www.canal121.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL DE NOTÍCIAS CANAL 121,1,"2025-03-23 20:50:26","2025-03-23 21:31:46"
203,Feed Google News - PORTAL TÔ DE OLHO,https://news.google.com/rss/search?q=site:https://portaltodeolho.com/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL TÔ DE OLHO,1,"2025-03-23 20:50:28","2025-03-23 21:31:51"
204,Feed Google News - PORTAL 24 HORAS,https://news.google.com/rss/search?q=site:https://24hportal.com.br/+when:1d&hl=pt-BR&gl=BR&ceid=BR:pt-419,Feed RSS do Google News para o portal PORTAL 24 HORAS,1,"2025-03-23 20:50:29","2025-03-23 21:31:51"
